id_institution_subnet,model,test_SMAPE,test_R2,test_RMSE,normal_SMAPE,normal_R2
0,Mean,50.27928529047362,-0.0025841237424015784,27574151229.520798,50.37092935564469,-0.010341414361201284
0,SN-24,23.150416818073744,0.7341847848816484,14198146715.679827,23.010351027417343,0.7427132707685982
0,SN-168,29.10852025643631,0.5838063777953945,17765991579.989292,26.940096413064023,0.6564999343354146
0,MA-24,47.94673661017441,0.10474383250560948,26056459382.832935,48.29578774845832,0.08903944338475689
0,MA-168,48.94128227691536,0.04291129705425911,26941255872.285034,48.958257922772184,0.029866935970125907
1,Mean,126.2691308893948,-0.03769212811681233,8472122.639124107,124.97006657608647,-0.03750964991022632
1,SN-24,101.90414810843644,-0.8292799266248281,11248589.213124366,100.81987509240207,-0.8293967565792486
1,SN-168,109.08447190253267,-0.87974227966398,11402685.014304826,108.08306228774877,-0.8782255333309397
1,MA-24,119.99888283509226,-0.028065163814094074,8432731.923749322,119.26813896906046,-0.0279142504701142
1,MA-168,126.7145432094275,-0.034936139388084486,8460864.67657826,126.82943230269446,-0.03478059837036218
2,Mean,47.81544124961683,-0.00024560115895511103,18567.767704651556,45.525666046008105,-7.351987856063502e-06
2,SN-24,48.255309053332475,-0.9864373699740687,26166.389843789773,47.54089098376165,-0.9891785476573367
2,SN-168,50.13370607943154,-0.9846160097838499,26154.391139226755,48.27183331020271,-0.9859637459030623
2,MA-24,35.630299996074946,0.006831378335292793,18501.965383050574,35.26236600342916,0.005384036431486328
2,MA-168,38.374084421787245,0.0031578236663506454,18536.151545111046,37.44885883719277,0.002058608411337981
3,Mean,82.07869550855582,-0.005974677871115164,52965403.43199951,74.98086550493817,-0.006048555141984213
3,SN-24,97.77342253340045,-0.9612752695837696,73955084.26632354,94.22302985987206,-0.9978316715972657
3,SN-168,100.36923185278096,-0.9819301220478729,74343487.332353,95.0404413079674,-0.9871868928100758
3,MA-24,84.81173485221727,-0.005241687111262383,52946103.629161924,79.78926947604623,-0.005182594448757127
3,MA-168,81.21233652513095,-0.006508936518637709,52979466.146181464,73.96207256839051,-0.006454927300112878
4,Mean,80.60511033664822,-0.044255175347516884,213451446.30957904,78.11394761243885,-0.05754867863021662
4,SN-24,83.42584933491376,-0.6164063019129717,265565131.05701572,81.1748813443343,-0.5334477245098979
4,SN-168,87.21723547371283,-0.7059692260247841,272823251.18558943,84.88625508398748,-0.7574244546343865
4,MA-24,77.79666309575481,-0.05043362667938389,214081969.59916538,76.17500755340875,-0.05335672469654651
4,MA-168,77.61490769785426,-0.057535087130657914,214804401.63175148,75.66202555597063,-0.06012978056176044
5,Mean,146.31548585252213,-0.05090669192886765,81470152.24062428,140.87217136743797,-0.06362355672573061
5,SN-24,80.91251715920238,-0.7150017452997552,104075554.22321397,86.97864119039822,-0.7365748986317135
5,SN-168,94.2115231764858,-1.8165125211249622,133374342.73220228,96.62889911585711,-1.851942700805035
5,MA-24,85.6359832354626,-0.014370693243909605,80041422.02047172,92.9507487390425,-0.027128254367051685
5,MA-168,90.62011986484923,-0.025281422192054537,80470739.64876255,96.26536299541661,-0.03817545993372984
6,Mean,53.76671602966532,-0.03832315107283435,11161011963.53234,50.58255271119989,-0.07948422064896676
6,SN-24,42.26559199566887,0.21542436306759571,9701853535.207424,41.309481298768205,0.18317528135872263
6,SN-168,44.72045582475198,0.27151075355631227,9348649502.644566,41.31363015893626,0.30262651367827365
6,MA-24,48.08481030103039,0.1493273585065633,10102259909.52151,46.88397231463806,0.09988447889245744
6,MA-168,51.45332877458139,0.03143691661691439,10779565628.141153,49.749954854587095,-0.023362666919621855
7,Mean,85.71381420405376,-0.16371939774767852,763177749.1747923,85.93096056979576,-0.17280507981378412
7,SN-24,74.79164728100986,-0.26781643124492494,796580647.1707121,74.4410266460835,-0.2878480435818691
7,SN-168,73.27991677412776,-0.08712824410846354,737635742.6248193,72.77449115968582,-0.08536285243451514
7,MA-24,82.00611739320007,-0.041300706442976676,721920949.045807,81.67481455368295,-0.044068256320239474
7,MA-168,84.00368324629468,-0.09334662936329297,739742376.6208694,83.83198552386943,-0.09981474670618029
8,Mean,76.37407812787566,-0.04320998128254705,569472391.9453112,75.55799624989425,-0.06949094957950064
8,SN-24,67.03721542802896,-0.1692078059227382,602882476.1982136,66.1984908551807,-0.17992123849983055
8,SN-168,67.30868780976621,-0.23491807605319837,619592113.6361884,65.5534772242851,-0.2333821075548188
8,MA-24,74.09139503621705,-0.0278622849972332,565267833.8196315,73.80089516375364,-0.054699591603174946
8,MA-168,74.01642385044394,-0.048434514912030435,570896607.5545356,73.8953578690595,-0.07892933912592182
9,Mean,82.68090204799641,-0.015756128312392148,73606.01126961877,76.41262069547903,-0.04701250554180669
9,SN-24,89.1292932889218,-0.519069870113043,90013.45531711409,88.62281419417964,-0.5420281484670078
9,SN-168,95.44030417106126,-0.7764538530138199,97340.93721068905,92.52268381531982,-0.75639012454505
9,MA-24,70.6957942954228,0.16177168441679313,66865.1344010134,70.41455810111307,0.12368426637132413
9,MA-168,77.12115254687541,-0.020527279265120546,73778.67769750845,75.7214069091604,-0.0757382943235041
10,Mean,94.88121434957712,-0.1877265075379655,564241651.6296917,95.27705442751541,-0.19766311990520058
10,SN-24,75.24086094711545,-0.23780662928538132,576014372.1950698,75.11490850693836,-0.21865238725750125
10,SN-168,74.34627356671828,-0.2133644633966909,570298925.3241682,72.73932997378365,-0.14879247279553742
10,MA-24,90.59335063572094,-0.06023572365969798,533099326.9004277,90.75164061798608,-0.06247586358292323
10,MA-168,92.9172621511201,-0.12265791730827691,548568213.8076693,93.11711097797267,-0.12986977762142105
11,Mean,92.20412683601086,-0.01155614090962609,1605813.9691929924,95.79081506146217,-0.013145653979345528
11,SN-24,41.75646972257457,-0.8661612525345899,2181096.194657552,41.69809285149505,-0.8691068281845271
11,SN-168,51.256432697502305,-0.46071180923050603,1929667.6062125468,48.798610522898336,-0.46300618395576665
11,MA-24,34.528678008206434,-0.004211560992796626,1599973.7025111364,35.21565908441172,-0.005797229413238014
11,MA-168,41.393415636882324,-0.008353591724982845,1603269.9803506401,40.84599898033414,-0.00994253817302404
12,Mean,46.02645631494769,-0.04218487738660848,41323.3485017193,45.782031874386085,-0.057369663919886404
12,SN-24,48.05562340325802,0.022379871058935907,40022.86646431864,48.66510768173724,0.008283767097970074
12,SN-168,59.10848353091548,-0.8844677298980597,55567.067104540234,59.069589749607744,-0.913927508042095
12,MA-24,35.03809367800373,0.5929021522075109,25826.914545470725,35.37203460988957,0.5876283294210205
12,MA-168,42.61932371207525,0.15324465193543868,37247.92606009862,42.40248873009594,0.1411889881789904
13,Mean,81.58465719852951,-0.036463776342611,461280433.3524764,79.34769289333767,-0.04413769918865129
13,SN-24,77.4136900888908,-0.9013206041822652,624763495.5576115,75.34208110220017,-0.9125979842334722
13,SN-168,72.54499300452937,-0.28296598106720605,513210507.13734365,68.51179505770092,-0.2467771779001533
13,MA-24,78.26515764239542,-0.027480966230972292,459277173.9695604,76.46948531770371,-0.033884132450656246
13,MA-168,81.06474288939813,-0.05245685861861227,464825687.3439109,78.38361629799897,-0.05743241536949939
14,Mean,86.76221017056217,-0.12136815959147373,1471121525.0147002,84.88706827605166,-0.13752407450477988
14,SN-24,66.9099087238544,-0.28067482302401037,1572149622.0559068,65.63152019288235,-0.28872296631208894
14,SN-168,63.36745910691109,-0.13408077578859756,1479436857.1876159,59.34516214880824,-0.06013318282680169
14,MA-24,79.1971115995408,-0.010171798418880051,1396278528.7090342,77.92636122317816,-0.017096044477784567
14,MA-168,85.03099894601995,-0.10345175298371956,1459321947.9471889,83.08055453180152,-0.11822171330846998
15,Mean,85.0763334588139,-0.00334821449817424,1365445.7258363774,81.27817398819049,-0.005964735649341746
15,SN-24,67.47395147654144,-0.9628088122225302,1909798.732736539,66.67128775844482,-0.9663746093807215
15,SN-168,62.80324437863369,-0.9164052010539065,1887088.5158969597,59.424060313010486,-0.906442238795574
15,MA-24,69.88996043030728,-0.003177557888710103,1365329.5985318292,68.15284436962001,-0.006127242505694852
15,MA-168,76.28925521716833,-0.021372319943071538,1377655.54076936,73.73198326210716,-0.025493945904718096
16,Mean,115.8955183517967,-0.13115810636314507,3895593227.779318,112.87409675547475,-0.14223883877400612
