level,model,n_entities,SMAPE_median,SMAPE_mean,R2_median,R2_mean
institutions,Mean,283,94.18632155401707,95.05877266831679,-0.07532122245605866,-7.979179518299216
institutions,SN-24,283,79.71269572758797,76.31999353855522,-0.35116572191941664,-0.3552352827178322
institutions,SN-168,283,78.69376089197318,75.81493714193816,-0.30349988732250055,-0.37605593362630935
institutions,MA-24,283,81.81255482263076,80.95114572749264,-0.012538458147169251,0.019276222393914993
institutions,MA-168,283,86.68636125692436,87.43282810079508,-0.06723249356010974,-0.06040407922560132
institution_subnets,Mean,546,87.73887814400672,92.43949527831228,-0.06979276523133038,-4.288237213474592
institution_subnets,SN-24,546,74.34282740534789,73.90995215679798,-0.5341689670438634,-0.47593551874169865
institution_subnets,SN-168,546,76.35605135743376,76.01082418619183,-0.5970365383558507,-0.5536797318664622
institution_subnets,MA-24,546,72.01793285742086,73.54811475557435,-0.0038130098740094542,0.04936661515939333
institution_subnets,MA-168,546,76.4455620607755,79.51110318315807,-0.038812834897593795,-0.024223134944144985
