track,label,baseline,group_type,group,n,baseline_smape,ispnet_smape,delta_smape,share_ispnet_better,baseline_r2,ispnet_r2,delta_r2
org_24h,"To chuc, 24h",gru,traffic_group,low,93,76.63156199130022,73.72378324980751,-0.42176699246353166,0.5806451612903226,0.13843248249105297,0.1870993488967504,-0.0010760690463808079
org_24h,"To chuc, 24h",gru,traffic_group,mid,94,68.23547894897,67.00286346112276,-0.046687502968143946,0.5212765957446809,0.27379270599276173,0.2679108473771922,-0.004990065343879021
org_24h,"To chuc, 24h",gru,traffic_group,high,95,41.71627919436337,42.477875168695185,-0.10026963372413888,0.5473684210526316,0.32145717778606414,0.3165870173866607,-0.011663992916572219
org_24h,"To chuc, 24h",gru,missing_group,low_missing,94,51.18524230335907,50.138925409278514,-0.1399370173900465,0.5425531914893617,0.3809752107634631,0.3732944010461262,-0.007359756332379272
org_24h,"To chuc, 24h",gru,missing_group,mid_missing,94,60.57480984163973,60.25184020340906,-0.0958293973851605,0.5212765957446809,0.2662210508284566,0.2654476786458364,-0.007310683737725525
org_24h,"To chuc, 24h",gru,missing_group,high_missing,94,70.31846019389708,67.57883440594043,-0.16750836193662622,0.5851063829787234,0.08282887452660848,0.09245079159968381,-0.0026115992036466196
org_24h,"To chuc, 24h",gru,volatility_group,low_cv,93,39.59151120089595,39.2678422075954,-0.10026963372413888,0.5591397849462365,0.24415805531262932,0.2619288345250758,-0.011176538859135055
org_24h,"To chuc, 24h",gru,volatility_group,mid_cv,94,66.33207041444732,66.60683040356584,-0.2238744325088895,0.574468085106383,0.33666710536266686,0.35352270828918186,-0.00429107570758705
org_24h,"To chuc, 24h",gru,volatility_group,high_cv,95,76.92868625179777,75.75508511939081,-0.044258222495273,0.5157894736842106,0.11497438952308918,0.11538133198924604,-0.0012122037949190978
org_168h,"To chuc, 168h",transformer,traffic_group,low,93,85.54521751821592,82.76160736140334,-3.084019299302888,0.8064516129032258,0.04262492607011597,0.09381691619344008,0.009751119591601187
org_168h,"To chuc, 168h",transformer,traffic_group,mid,94,77.12356187644126,74.55051943670813,-1.4681953758428072,0.776595744680851,0.186124884239512,0.1705439693887863,-0.003613683805174378
org_168h,"To chuc, 168h",transformer,traffic_group,high,95,49.25204703802552,47.344303104524535,-1.527896952715885,0.8315789473684211,0.17212259296475985,0.19387694494664073,-0.006413597739820254
org_168h,"To chuc, 168h",transformer,missing_group,low_missing,94,58.39075428671685,56.29112497903067,-1.7138095924757621,0.8404255319148937,0.21918010125392712,0.24781057391653633,-0.0002020451409688942
org_168h,"To chuc, 168h",transformer,missing_group,mid_missing,94,71.07009615090709,66.60530351499108,-1.516908126840363,0.8085106382978723,0.1651534824967352,0.1774137612373825,-0.0008530432147764028
org_168h,"To chuc, 168h",transformer,missing_group,high_missing,94,81.56679741873303,74.5358859643112,-2.2999992776533844,0.7659574468085106,0.0235595263811081,0.051893180492256656,-0.0005771580955863748
org_168h,"To chuc, 168h",transformer,volatility_group,low_cv,93,46.60776736634498,44.03142143366359,-1.5748186092405376,0.8709677419354839,0.12336138236960514,0.14282724805457028,-0.003503647698251011
org_168h,"To chuc, 168h",transformer,volatility_group,mid_cv,94,75.25481616659769,73.35385172139709,-1.3736290655018806,0.7446808510638298,0.23557844655109078,0.22516659840453843,-0.0028335341509642398
org_168h,"To chuc, 168h",transformer,volatility_group,high_cv,95,87.4298048300523,83.980414475914,-2.6904663744773387,0.8,0.04938041501214036,0.0779585966961127,0.0038907523295857007
subnet_24h,"Mang con, 24h",transformer,traffic_group,low,179,49.6550916405243,46.831006735350805,-0.9638842692957894,0.7653631284916201,0.005824437554312167,0.01699950308493985,6.920731171466661e-05
subnet_24h,"Mang con, 24h",transformer,traffic_group,mid,180,73.14568647751588,71.11515545662928,-0.7670393656322076,0.8166666666666667,0.11125257292792501,0.13274715326590708,0.0035848644664458213
subnet_24h,"Mang con, 24h",transformer,traffic_group,high,181,51.824306754121785,51.741577975961434,-0.2888229818368018,0.6132596685082873,0.23111811991364015,0.26158264887432214,-0.0053815366842241
subnet_24h,"Mang con, 24h",transformer,missing_group,low_missing,182,54.787826790663075,53.1451297541968,-0.6901458328451682,0.7417582417582418,0.04095582921919862,0.08996408379952378,0.00023524753887879972
