resolution,level,model,n_seeds,SMAPE_median,SMAPE_median_std,R2_median,R2_median_std,paper_RMSE,paper_RMSE_std,paper_R2_clipmean,paper_R2_std,paper_Harmonic,paper_Harmonic_std
Daily,Institutions,LSTM,3,63.6321,0.2029,0.23,0.0044,0.0614,0.0003,0.2396,0.0027,0.1102,0.0005
Daily,Institutions,GRU,3,63.1256,0.1875,0.2416,0.0119,0.0605,0.0005,0.2508,0.0053,0.1085,0.0009
Daily,Institutions,TCN,3,64.3192,0.3454,0.1856,0.0033,0.0637,0.0008,0.1763,0.0146,0.1149,0.0016
Daily,Institutions,DLinear,3,67.0494,0.0871,0.1944,0.0053,0.0623,0.0006,0.2095,0.0088,0.1121,0.0011
Daily,Institutions,Transformer,3,62.8745,0.1453,0.2246,0.0168,0.0602,0.0008,0.2423,0.0145,0.108,0.0016
Daily,Institutions,PatchTST,3,65.5574,0.5039,0.1949,0.0044,0.0631,0.0005,0.2046,0.0035,0.1137,0.0009
Daily,Institutions,iTransformer,3,65.446,0.424,0.2069,0.0027,0.0617,0.0001,0.224,0.0039,0.1108,0.0002
Daily,Institutions,ISPNet (proposed),3,62.3903,0.3315,0.2643,0.0138,0.0591,0.0005,0.2685,0.0104,0.1058,0.001
Daily,Subnets,LSTM,3,61.7046,0.5496,0.0972,0.0083,0.0676,0.0006,0.161,0.0073,0.1182,0.0011
Daily,Subnets,GRU,3,60.6161,0.0824,0.0954,0.0103,0.0669,0.0006,0.1622,0.0131,0.1171,0.0011
Daily,Subnets,TCN,3,61.6981,0.3969,0.0672,0.0164,0.07,0.0009,0.1161,0.0195,0.123,0.0018
Daily,Subnets,DLinear,3,63.2003,0.1759,0.0796,0.0007,0.0688,0.0001,0.1337,0.0005,0.1208,0.0002
Daily,Subnets,Transformer,3,60.4938,0.1224,0.0947,0.0136,0.0671,0.0011,0.16,0.0178,0.1174,0.0021
Daily,Subnets,PatchTST,3,62.529,0.1837,0.0685,0.0046,0.0688,0.0004,0.1325,0.0067,0.1207,0.0007
Daily,Subnets,iTransformer,3,61.7598,0.2473,0.0912,0.0062,0.0675,0.0002,0.1578,0.0017,0.1181,0.0003
Daily,Subnets,ISPNet (proposed),3,58.8068,0.2088,0.1146,0.0023,0.0653,0.0001,0.1873,0.0016,0.114,0.0002
Weekly,Institutions,LSTM,3,72.3588,0.4329,0.0984,0.0427,0.0718,0.0019,0.067,0.0417,0.1306,0.0038
Weekly,Institutions,GRU,3,72.1898,1.3794,0.1249,0.0357,0.0717,0.0018,0.0808,0.0374,0.1304,0.0035
Weekly,Institutions,TCN,3,72.4211,1.2405,0.1253,0.0095,0.0696,0.0009,0.108,0.0106,0.1264,0.0018
Weekly,Institutions,DLinear,3,73.543,0.8261,0.0392,0.0017,0.0732,0.0005,0.008,0.01,0.1334,0.001
Weekly,Institutions,Transformer,3,70.9143,0.2733,0.1372,0.0195,0.0693,0.0011,0.1074,0.019,0.1257,0.0021
Weekly,Institutions,PatchTST,3,78.5644,1.3515,-0.0128,0.0114,0.078,0.0009,-0.0779,0.0263,0.143,0.0017
Weekly,Institutions,iTransformer,3,74.763,0.3136,0.0254,0.0044,0.0725,0.0005,0.0338,0.0059,0.132,0.0011
Weekly,Institutions,ISPNet (proposed),3,70.3525,0.9224,0.1455,0.0187,0.0667,0.0008,0.1337,0.0167,0.1207,0.0016
Weekly,Subnets,LSTM,3,67.5866,0.2739,0.0131,0.004,0.0789,0.0005,0.0015,0.0053,0.1399,0.0009
Weekly,Subnets,GRU,3,67.6925,0.4222,0.0102,0.0045,0.0794,0.0007,-0.0105,0.0163,0.1411,0.0014
Weekly,Subnets,TCN,3,67.496,0.4636,0.0172,0.0032,0.0776,0.0005,0.0251,0.0092,0.1375,0.001
Weekly,Subnets,DLinear,3,68.459,1.1101,0.0019,0.0079,0.0763,0.0018,-0.0005,0.0324,0.1351,0.0034
Weekly,Subnets,Transformer,3,67.6032,1.3921,0.0167,0.0085,0.0767,0.0018,0.0043,0.031,0.1359,0.0035
Weekly,Subnets,PatchTST,3,74.7706,0.6016,-0.0217,0.0055,0.083,0.0009,-0.1082,0.0187,0.1481,0.0019
Weekly,Subnets,iTransformer,3,69.6633,0.2748,-0.0075,0.0014,0.0769,0.0003,-0.012,0.0011,0.1363,0.0005
Weekly,Subnets,ISPNet (proposed),3,65.853,0.3227,0.0224,0.0054,0.0733,0.0004,0.0518,0.009,0.1295,0.0007
