track,group,n,base,base_smape,isp_smape,delta_smape,share_improved,base_r2,isp_r2,delta_r2
T? ch?c 24h,Th?p,94,gru,76.61629557326953,72.83586639044,-0.428436683592345,58.51063829787234,0.15568106839383766,0.19746091548460465,-0.0008070471897044878
T? ch?c 24h,Trung b?nh,94,gru,68.39703325790148,67.00286346112276,-0.046687502968143946,52.12765957446809,0.2649951136962908,0.2627548331992155,-0.004990065343879021
T? ch?c 24h,Cao,94,gru,41.65847787296527,41.93024527451484,-0.08003620509560605,54.25531914893617,0.32317241146494136,0.3166519399188138,-0.012032886453914537
T? ch?c 168h,Th?p,94,transformer,85.95472185865202,82.75454943959295,-3.2548137093888236,80.85106382978722,0.04449764935939125,0.0958943191174187,0.010280742495338713
T? ch?c 168h,Trung b?nh,94,transformer,76.70311549466626,74.80835353388483,-1.2916892166353975,76.59574468085107,0.17129394290702254,0.1650467674457497,-0.004830098366683119
T? ch?c 168h,Cao,94,transformer,49.1030452360892,47.3101914348547,-1.542426173777752,84.04255319148936,0.18790779994651602,0.19557817706754632,-0.006392365685750495
M?ng con 24h,Th?p,180,transformer,49.90442742624566,46.83505790103274,-0.9579369343829551,76.11111111111111,0.0051575438921371,0.016283534452765567,8.609699123749998e-05
M?ng con 24h,Trung b?nh,180,transformer,73.14568647751588,71.11515545662928,-0.7670393656322076,81.66666666666667,0.11742877914164622,0.13608615551081582,0.0030015880358169513
M?ng con 24h,Cao,180,transformer,52.07985559399406,51.87489245379244,-0.29526061677788107,61.66666666666667,0.22912874388725255,0.2586982878307912,-0.0051513573703138495
M?ng con 168h,Th?p,180,transformer,57.18780567926527,53.19544830274371,-2.43967074237527,78.33333333333333,-0.027320279395724137,-0.012708951941733033,0.002352102713404261
M?ng con 168h,Trung b?nh,180,transformer,82.7455877556659,79.98937121905377,-0.9079048927636748,66.11111111111111,0.05121880244911965,0.06544650381282044,-0.00024237282373619235
M?ng con 168h,Cao,180,transformer,58.98160094751604,58.71854886233248,0.720500084604371,37.22222222222222,0.12931447694667342,0.12515984522047893,-0.030959383467447615
