id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts,outage_SMAPE,outage_R2
0,33.57899603585261,0.3433767890372258,0.3433767890372258,3192,0.14262097730578335,0.32892849181970996,0.23524581103035647,3864,41.47484975048226,-0.17439071554288077
1,33.1196322251123,0.2708207269306514,0.2708207269306514,3192,0.02463284297746822,0.24914471686592177,0.04770079557758119,3864,34.57453496497197,-0.2054936018961322
2,33.635441145578895,-0.031652409417929794,-0.031652409417929794,3192,0.06514132520394376,-0.0491447750041174,0.12266630798284316,3864,47.281475112008444,-0.28472162093914655
3,37.53430791630945,0.4797961209053474,0.4797961209053474,3192,0.10814813552731396,0.4201846390740973,0.18229441113521977,3864,50.793758648707296,-1.250082334780418
4,84.23705829081933,0.41482598191093145,0.41482598191093145,3192,0.05557946217563418,0.4254077992351831,0.10135500330118884,3864,108.93770192043664,0.4810702954423053
5,75.24817952485321,0.272327353872477,0.272327353872477,3192,0.0951982553781569,0.32314845860548747,0.16691950742070308,3864,88.8746930121789,0.08240267669372192
6,92.0437667611283,0.12650355682522907,0.12650355682522907,3192,0.04913785822939929,0.10955955652916427,0.09313611477365265,3864,104.55190098982531,0.04147517704912407
7,93.79071197468532,0.2801721171406175,0.2801721171406175,3192,0.021804178470508397,0.2942874976821154,0.04230138430017348,3864,109.12469259685973,0.39660625977935615
8,117.26110102938362,0.24943262739356564,0.24943262739356564,3183,0.05186498690000178,0.2298153938653491,0.09718541276882023,3864,133.7840935664048,0.11844957938711886
9,49.46318719070768,0.11797628906506674,0.11797628906506674,3192,0.05636331924219105,0.12206300698131634,0.10592620458896858,3864,69.35584891939752,-0.4205662231216969
10,56.46944679927446,0.5149142545002424,0.5149142545002424,3192,0.10766070619132737,0.5114158623364495,0.17644198968550365,3864,68.35507699469613,0.46307667526618945
11,128.6444361793683,-0.19317471802120822,-0.19317471802120822,3192,0.1092286380876434,-0.18269623255951295,0.19998732385908916,3864,148.8374886555764,-0.16061334612043598
12,62.888577840049706,0.3165336539597653,0.3165336539597653,3190,0.07803540903784739,0.3873452414341326,0.1384376582326028,3864,90.85813999955663,0.2519412118830109
13,88.91939145921262,0.02598265568755309,0.02598265568755309,3191,0.02852558144830118,0.028783593117476247,0.05542332530157999,3864,92.36775649920223,-0.21178539976824284
14,88.07639903826934,0.07787466961707479,0.07787466961707479,3192,0.07399158522573332,0.08002727451215363,0.1369671719388308,3864,104.77343309359182,0.07622417758839439
15,78.5163146299501,0.07996901899418596,0.07996901899418596,3192,0.06588653031193165,0.11291131054743453,0.12266257215257258,3864,110.25750667656251,0.2014706994931702
16,72.74874593894255,0.3553607491964351,0.3553607491964351,3192,0.04036539113231402,0.2994602851025937,0.07633247325581057,3864,92.8490903303254,0.02950926813411936
17,71.18636728808146,0.23655225447976436,0.23655225447976436,3192,0.07008733018111736,0.18921198915830806,0.12902158654315557,3864,94.25174276139904,-0.8728865810056301
18,96.37645753950932,0.09076043729900407,0.09076043729900407,3192,0.03518191468928122,0.09799371820032865,0.06772238099959013,3864,120.78491095768373,0.1097492284077386
19,77.83858444584398,-0.0014822814695369946,-0.0014822814695369946,3192,0.08653113899290785,-0.007269602513260587,0.15937123220155444,3864,86.65512089378747,-0.03253645246060932
20,96.11555248175037,-0.04035919068029159,-0.04035919068029159,3190,0.08921779455917207,-0.08064860184871692,0.16482751405875873,3864,113.12107052113345,-0.0022469165457530416
21,78.22383927421251,-0.023333569738415383,-0.023333569738415383,3192,0.054024752825719086,-0.020056064606780888,0.1026147676494005,3864,78.83374728134106,-0.009764325252075157
22,42.7124436737369,0.3040256131837238,0.3040256131837238,3192,0.0479910489383192,0.2924403424478982,0.08988550963069955,3864,56.15377078234985,0.010665547977131484
23,42.9704862849628,0.45578002893707337,0.45578002893707337,3192,0.12907891393402154,0.42722709033573447,0.21067952700115564,3864,47.49831666582058,-0.15955237692125968
24,54.743726627289746,-0.0344573095239602,-0.0344573095239602,3192,0.04756151234964823,-0.05815357700542334,0.09103137852613054,3864,76.1412408573471,-0.48095237949019687
25,56.340656668910405,0.05501289401516973,0.05501289401516973,3192,0.03249680659592272,0.03761963372101229,0.06287065275466674,3864,68.5300470214773,-0.11056652824991664
26,52.54791430475946,0.04507280847408046,0.04507280847408046,3192,0.1910700747014298,0.05331785404647804,0.3179648873666421,3864,98.41251296642584,-0.6330785699503081
27,40.525729519273014,0.17227261353911782,0.17227261353911782,3192,0.08305418002297776,0.13121108014873883,0.15161438132151958,3864,65.94486698920767,-0.2601251558065749
28,50.74996833480269,0.0649290626106479,0.0649290626106479,3192,0.08316660816895088,0.08773537422952848,0.15243635540265663,3864,68.70126011748523,0.04133812346715893
29,58.3096723583133,-0.013928507721008954,-0.013928507721008954,3190,0.17803810992911187,-0.12730231910007128,0.3075102398545172,3864,80.3474204489785,-5.688717550701408
30,70.39521385025094,-9.756330301558359,-1.0,3190,0.1514304786408239,-4.102638285214202,0.29413203084690354,3864,81.75307749570334,-0.845764768094621
31,53.62813209247245,0.1291644855510211,0.1291644855510211,3186,0.04157543795576819,0.08742900953834021,0.07952770657455967,3864,60.02492784340097,-0.13144981045512538
32,34.144304571106765,0.15582360019400565,0.15582360019400565,3192,0.0948968868637759,0.08530125091373975,0.17195411829369658,3864,53.70715792582046,-0.3383442450762604
33,38.79573266757193,0.2058622644778365,0.2058622644778365,3192,0.09581773530212924,0.19708716504143153,0.171204345410051,3864,70.21546183868045,-0.09516884710926332
34,54.04021594962688,0.47209377260489827,0.47209377260489827,3192,0.08170471392892863,0.48217114700891195,0.14113991486794103,3864,76.70728558794228,0.5297451026874993
35,77.82881086745708,-0.2601327486841998,-0.2601327486841998,3192,0.08756545239151926,0.011390258871503578,0.1608809787511042,3864,88.4399976198389,0.29946950973279574
