id_institution_subnet,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts,outage_SMAPE,outage_R2
0,34.19894169689966,0.5212731043660939,0.5212731043660939,3192,0.11741424384643966,0.46443252448946826,0.19260340160132022,3864,41.870450067484164,-0.16643301850909653
1,113.3605930363323,-0.03783742787183453,-0.03783742787183453,2344,0.05909370597282165,-0.026399611042305482,0.1117533491451376,3864,160.697375665934,-0.14838104582390033
2,38.23037580514254,0.0030180206867790327,0.0030180206867790327,3185,0.1280426143568722,0.11799822802761306,0.22362148491546302,3864,54.121295663252255,-0.3269335800453408
3,72.83578225831349,-0.004790609769877552,-0.004790609769877552,3191,0.018883326858422683,-0.006345004969116275,0.03707104275454119,3864,120.57172021533525,-0.00817108635709407
4,71.63447069641612,0.1098181519981849,0.1098181519981849,3192,0.06449995254286019,0.09636147655278582,0.12040558933191932,3864,92.8585936682083,0.01854376504278943
5,109.47931518593266,0.03168941978144302,0.03168941978144302,3192,0.029304802481953992,0.04906097761605843,0.05685744610970898,3864,121.07352430755458,-15.368589746921796
6,35.443387403131,0.4899958259438081,0.4899958259438081,3192,0.10917685674845912,0.4938781498647916,0.17960965011396965,3864,54.07864200525664,0.2309079233006609
7,66.70483443359892,0.1762448755916709,0.1762448755916709,3192,0.06432961249563551,0.2006930550955236,0.1190757977767109,3864,67.76464689552397,0.3837989612674434
8,56.02126186248232,0.3390299385814062,0.3390299385814062,3192,0.031915805940927154,0.3115913483278091,0.061003390076824295,3864,76.53029899672443,-0.6970684600494608
9,75.61588427240855,-0.02374854920563574,-0.02374854920563574,2688,0.07703737718077083,0.02349292985881113,0.1428084855335333,3864,103.01063532863486,-0.4013274910803877
10,66.14932519947465,0.2780549087157428,0.2780549087157428,3192,0.030778184033477717,0.2635517628057352,0.05908696246206835,3864,68.61313613472613,0.16416202143188552
11,42.771149939410236,-0.008442638722998108,-0.008442638722998108,3097,0.13182730259906694,-0.05491351077271567,0.23436693342560905,3864,49.102293969914804,-0.6257823179602016
12,45.678668987344324,-0.08768231223979095,-0.08768231223979095,3192,0.15276949160702424,-0.050608857694670606,0.2667506543739764,3864,43.316350465026595,-0.135061619625795
